regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5744.454119792528,-5754.826653069727,-10.372533277198272,11506.952643444778,11672.052940876943,-165.10029743216728,11492.908239585056,11545.653306139451,-52.745066554396544,10,1,0.1,ok,circular_rng_shift,8,432314,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3386.7188448137954,-72.36634327636148,7197.630824408318,7911.289332294491,-713.6585078861726,6772.705003074868,7061.437689627591,-288.7326865527229,10,0,0.0,ok,circular_rng_shift,8,432314,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1870.217513140168,-1874.952693340524,-4.735180200356126,3756.2370403843206,3892.123513616912,-135.88647323259102,3744.435026280336,3785.905386681048,-41.47036040071225,10,2,0.2,ok,circular_rng_shift,8,432314,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2631.1076387782346,-35.10309729018445,5732.799481121115,6343.796073846499,-610.9965927253843,5336.0090829761,5550.215277556469,-214.2061945803689,10,1,0.1,ok,circular_rng_shift,8,432314,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1266.7198278138403,-1268.0794438442144,-1.3596160303741271,2548.460516740437,2671.346637703233,-122.8861209627962,2537.4396556276806,2572.158887688429,-34.719232060748254,10,3,0.3,ok,circular_rng_shift,8,432314,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11677.992504241529,-116.47778386830032,23772.627979696423,24655.18208638299,-882.5541066865662,23267.029440746453,23643.98500848305,-376.95556773660064,10,0,0.0,ok,circular_rng_shift,9,433323,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-5745.3390937850345,-5750.342745485759,-5.003651700724731,11508.72259142979,11663.08512570901,-154.3625342792202,11494.678187570067,11536.685490971518,-42.00730340144946,10,1,0.1,ok,circular_rng_shift,9,433323,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3431.912428153565,-117.55992661613163,7197.630824408318,8001.676498974031,-804.0456745657129,6772.705003074868,7151.824856307131,-379.11985323226327,10,0,0.0,ok,circular_rng_shift,9,433323,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1870.5226804075664,-1875.4991395865284,-4.976459178962159,3756.847374919117,3893.21640610892,-136.36903118980308,3745.045360815133,3786.9982791730567,-41.95291835792432,10,3,0.3,ok,circular_rng_shift,9,433323,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2648.3692952595397,-52.36475377148918,5732.799481121115,6378.319386809108,-645.5199056879937,5336.0090829761,5584.738590519079,-248.72950754297835,10,1,0.1,ok,circular_rng_shift,9,433323,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1266.926097992149,-1268.336052513321,-1.4099545211720397,2548.873057097054,2671.8598550414463,-122.98679794439248,2537.852195984298,2572.672105026642,-34.81990904234408,10,2,0.2,ok,circular_rng_shift,9,433323,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11620.794644950982,-59.27992457775508,23772.627979696423,24540.7863678019,-768.1583881054758,23267.029440746453,23529.589289901964,-262.55984915551016,10,0,0.0,ok,circular_rng_shift,10,434332,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-5745.126966715182,-5752.525274976197,-7.39830826101479,11508.298337290084,11667.450184689886,-159.15184739980032,11494.253933430364,11541.050549952392,-46.79661652202958,10,1,0.1,ok,circular_rng_shift,10,434332,True
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3444.7332639093875,-130.38076237195355,7197.630824408318,8027.318170485676,-829.6873460773577,6772.705003074868,7177.466527818775,-404.7615247439071,10,0,0.0,ok,circular_rng_shift,10,434332,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.8,0.0,-0.8,-1871.4543692748996,-1879.4157936033444,-7.961424328444991,3758.710752653784,3901.049714142552,-142.33896148876877,3746.908738549799,3794.8315872066887,-47.92284865688998,10,3,0.3,ok,circular_rng_shift,10,434332,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2680.8342433924363,-84.82970190438618,5732.799481121115,6443.249283074902,-710.4498019537878,5336.0090829761,5649.668486784873,-313.6594038087724,10,0,0.0,ok,circular_rng_shift,10,434332,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1267.1157771328162,-1270.2835094703214,-3.1677323375051856,2549.2524153783884,2675.7547689554467,-126.50235357705832,2538.2315542656324,2576.567018940643,-38.33546467501037,10,4,0.4,ok,circular_rng_shift,10,434332,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-11561.514720373229,-11650.912500078288,-89.39777970506111,23772.627979696423,24601.02207805651,-828.3940983600878,23267.029440746453,23589.825000156576,-322.7955594101222,10,0,0.0,ok,circular_rng_shift,11,435341,False
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.8,0.8,-5745.359751731412,-5748.639302238778,-3.279550507366366,11508.763907322544,11659.678239215047,-150.91433189250347,11494.719503462824,11533.278604477557,-38.55910101473273,10,0,0.0,ok,circular_rng_shift,11,435341,False
no_wake,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-3314.352501537434,-3388.797461040112,-74.44495950267765,7197.630824408318,7915.446564747124,-717.8157403388059,6772.705003074868,7065.594922080223,-292.8899190053553,10,0,0.0,ok,circular_rng_shift,11,435341,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1869.2322847792548,-1875.960629103835,-6.7283443245798935,3754.266583662494,3894.1393851435328,-139.87280148103855,3742.4645695585095,3787.921258207669,-45.45668864915979,10,2,0.2,ok,circular_rng_shift,11,435341,True
stable_sleep,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.8,0.8,0.0,-2596.00454148805,-2685.4072070711827,-89.4026655831326,5732.799481121115,6452.395210432395,-719.5957293112806,5336.0090829761,5658.814414142365,-322.8053311662652,10,1,0.1,ok,circular_rng_shift,11,435341,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,D2_RNG_next_given_RNG_MCEEG,True,False,0.0,0.0,0.0,-1267.1993327528903,-1267.8414247595178,-0.6420920066275357,2549.419526618537,2670.87059953384,-121.45107291530304,2538.3986655057806,2571.682849519036,-33.28418401325507,10,2,0.2,ok,circular_rng_shift,11,435341,True
full,0,lag_0,MCEEG_next,D0_MCEEG_next_given_MCEEG,D1_MCEEG_next_given_MCEEG_RNG,True,False,0.0,0.0,0.0,-15990.482008763049,-16009.83617797316,-19.35416921011165,32630.501697932323,33318.74771675877,-688.2460188264486,32124.964017526097,32307.67235594632,-182.7083384202233,10,0,0.0,ok,conditional_target_shuffle,0,424242,True
