regime,lag_epochs,lag_label,family,baseline_model,augmented_model,valid,primary,baseline_eps_test,augmented_eps_test,conditional_lift,baseline_ll_test,augmented_ll_test,ll_improvement,baseline_bic_test,augmented_bic_test,bic_improvement,baseline_aic_test,augmented_aic_test,aic_improvement,n_subjects_evaluated,n_subjects_positive_lift,fraction_positive_lift,reason,control_type,replicate,control_seed,control_collapsed_overall
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.8,0.0,-0.8,-5744.616300587632,-5752.325224651797,-7.70892406416533,11507.277005034985,11667.050084041086,-159.7730790061014,11493.232601175265,11540.650449303594,-47.41784812833066,10,1,0.1,ok,circular_rng_shift,6,430296,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3518.6227122351047,-56.90097009371402,7492.369305616232,8175.097067137111,-682.7277615208786,7067.443484282781,7325.245424470209,-257.80194018742804,10,0,0.0,ok,circular_rng_shift,6,430296,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.8,0.0,-0.8,-1871.495408657174,-1878.6349586693775,-7.139550012203699,3758.7928314183328,3899.488044274619,-140.69521285628616,3746.990817314348,3793.269917338756,-46.2791000244074,10,2,0.2,ok,circular_rng_shift,6,430296,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2933.736341519733,-142.61569762834597,6123.031685927788,6949.053479329496,-826.0217934017073,5726.241287782774,6155.472683039466,-429.231395256692,10,2,0.2,ok,circular_rng_shift,6,430296,True
stable_sleep,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.0,0.0,0.0,-1268.915670190505,-1273.6657189102157,-4.750048719711003,2552.8522014937653,2682.5191878352352,-129.66698634146996,2541.8313403810093,2583.331437820432,-41.50009743942201,10,3,0.3,ok,circular_rng_shift,6,430296,True
full,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,False,0.0,0.0,0.0,-12038.346329061376,-12161.881068872057,-123.53473981068056,24726.29119707272,25622.95921564405,-896.6680185713267,24220.692658122756,24611.762137744117,-391.0694796213611,10,0,0.0,ok,circular_rng_shift,7,431305,True
full,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,False,0.0,0.0,0.0,-5745.301795909205,-5745.811965922196,-0.510170012990784,11508.647995678131,11654.023566581884,-145.3755709037523,11494.60359181841,11527.623931844391,-33.02034002598157,10,3,0.3,ok,circular_rng_shift,7,431305,True
no_wake,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-3461.7217421413907,-3574.335040568452,-112.61329842706118,7492.369305616232,8286.521723803804,-794.152418187572,7067.443484282781,7436.670081136904,-369.2265968541224,10,1,0.1,ok,circular_rng_shift,7,431305,True
no_wake,0,lag_0,RNG_next,C2_RNG_next_given_RNG,C3_RNG_next_given_RNG_EEG,True,True,0.8,0.0,-0.8,-1872.441376375412,-1877.573117356373,-5.13174098096124,3760.684766854808,3897.364361648609,-136.67959479380124,3748.8827527508233,3791.146234712746,-42.26348196192248,10,1,0.1,ok,circular_rng_shift,7,431305,True
stable_sleep,0,lag_0,EEG_next,C0_EEG_next_given_EEG,C1_EEG_next_given_EEG_RNG,True,True,0.8,0.8,0.0,-2791.120643891387,-2925.854617966874,-134.7339740754869,6123.031685927788,6933.290032223777,-810.2583462959892,5726.241287782774,6139.709235933748,-413.4679481509738,10,0,0.0,ok,circular_rng_shift,7,431305,True
